image,glcm
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14341287 0.1767077  0.07885325 0.14103036 0.8941888  0.86966436
  0.94188216 0.89597909 0.54021713 0.52661156 0.56995155 0.54240593
  0.92948414 0.91434766 0.96058467 0.93095254]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14209105 0.16683174 0.07695831 0.15107925 0.87079346 0.84827794
  0.93012007 0.8626029  0.57500331 0.56605438 0.6022408  0.57304438
  0.93044647 0.91965917 0.96166767 0.92730148]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.17956044 0.20691097 0.08461336 0.18375387 0.86645843 0.84612614
  0.93711875 0.86334694 0.48150582 0.47000781 0.52870692 0.48051416
  0.91115039 0.89863478 0.9577385  0.90964738]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.27706436 0.32046094 0.12640238 0.28892138 0.82020726 0.79210299
  0.91801745 0.81256434 0.45352642 0.44000048 0.51737116 0.45081203
  0.86594003 0.84783631 0.93691175 0.86171957]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.20521821 0.23861718 0.10021208 0.22030845 0.85058033 0.82627168
  0.92701168 0.83960176 0.54149817 0.53076514 0.58645811 0.53738319
  0.90012622 0.88635853 0.94996549 0.8943508 ]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.23134694 0.25963307 0.09721908 0.23493845 0.86905026 0.85305733
  0.94502829 0.86703262 0.4321233  0.421987   0.49314134 0.43186328
  0.88627818 0.87370749 0.95139046 0.88505872]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.29551648 0.34395447 0.13228798 0.30926127 0.81882421 0.78919966
  0.91893139 0.81046242 0.42787973 0.41371515 0.49670121 0.42510355
  0.85678932 0.83725919 0.93392754 0.8523231 ]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.20005338 0.22949583 0.09661672 0.20696442 0.77319484 0.73974631
  0.89052093 0.7652941  0.53430065 0.52149059 0.58840434 0.5324778
  0.90100188 0.88743668 0.95175564 0.89857033]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.10253689 0.1151095  0.05019389 0.11086481 0.84841311 0.82965828
  0.92573714 0.83594007 0.67006643 0.66449037 0.69601499 0.66683671
  0.94950016 0.94370168 0.97492565 0.94588816]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21621664 0.2442233  0.1059565  0.23211181 0.78695095 0.75924997
  0.89544693 0.77118922 0.57361557 0.56319888 0.62432526 0.56890449
  0.89344772 0.88082001 0.94702175 0.88697763]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16633281 0.19206716 0.08713262 0.17937084 0.838426   0.81342382
  0.91541391 0.8257565  0.61583297 0.60651198 0.65125224 0.61193002
  0.91807316 0.90664906 0.95649769 0.912635  ]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.22805024 0.25476269 0.10846322 0.24922574 0.85704795 0.8402754
  0.93198115 0.8437474  0.46077562 0.45171649 0.51229363 0.45459551
  0.88882323 0.87745193 0.94582863 0.88036001]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16742229 0.18839787 0.07310569 0.17689635 0.83761552 0.8172932
  0.92910968 0.82844728 0.55000685 0.54175595 0.59626149 0.54783657
  0.91842889 0.90931    0.96349986 0.91509472]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.18873155 0.21904133 0.09167545 0.19826125 0.82320878 0.79489469
  0.91407732 0.81435244 0.53546777 0.5231907  0.58243714 0.53271885
  0.90676075 0.89327517 0.95422251 0.90312943]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21647724 0.23921458 0.09939324 0.23722744 0.81884556 0.79961599
  0.91679073 0.8012796  0.54027245 0.53359068 0.5912855  0.53428359
  0.89482072 0.88583345 0.95032973 0.88670251]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.10574882 0.11530129 0.05615792 0.11732616 0.76175676 0.74013601
  0.87383922 0.73557614 0.77808051 0.77425429 0.80038461 0.77326688
  0.94748352 0.94302096 0.97192104 0.94206512]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.23875039 0.26256976 0.12072384 0.2797623  0.8419637  0.82633666
  0.92013155 0.81496562 0.5038065  0.49767864 0.54993114 0.4920969
  0.88553407 0.87683095 0.93975479 0.86947224]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.23895133 0.25762392 0.11751751 0.27122577 0.79038969 0.77391405
  0.8968364  0.76197657 0.51046198 0.50405578 0.56566681 0.50012177
  0.88290926 0.87470452 0.94126007 0.86951846]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.12853061 0.14067506 0.06255177 0.13936078 0.77855978 0.75755013
  0.89215428 0.75981526 0.72873358 0.72406664 0.75849421 0.72484072
  0.93617551 0.93068497 0.96872788 0.93131947]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.20686028 0.24677326 0.12711769 0.23256772 0.83848474 0.80741228
  0.90078623 0.81849833 0.50890481 0.49262094 0.54603717 0.49848381
  0.89758336 0.87897908 0.93655034 0.88543288]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.15230141 0.17090663 0.06973621 0.15915043 0.71023238 0.67470471
  0.86733252 0.6970791  0.71578957 0.70916549 0.75400282 0.71355512
  0.9251416  0.91711613 0.96513189 0.92224339]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21576452 0.24356931 0.10198153 0.23779025 0.85238685 0.83332022
  0.93018141 0.8372769  0.47899187 0.46936265 0.53071    0.47178421
  0.89472496 0.88315804 0.94912218 0.88605134]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21079749 0.24933893 0.1135739  0.23245138 0.83370682 0.80341769
  0.91061726 0.81673334 0.52262245 0.5092784  0.56679786 0.51499313
  0.89645118 0.87991479 0.94343141 0.88738135]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16787127 0.19448506 0.07615516 0.17189706 0.7181508  0.67336559
  0.87236628 0.71130479 0.69103193 0.68168888 0.73308505 0.69031281
  0.91742072 0.90599852 0.96196007 0.91614551]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.24723705 0.28218648 0.12771378 0.27387948 0.81950294 0.79392551
  0.90703438 0.79999377 0.49987511 0.48832305 0.55163775 0.49166479
  0.87877771 0.86383059 0.9361657  0.86788599]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14243642 0.17568897 0.08831539 0.15229606 0.87315566 0.84352943
  0.92143641 0.86436231 0.57502717 0.56289318 0.59784355 0.56989811
  0.93035667 0.91589838 0.95587242 0.92508199]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.2742135  0.30247921 0.12947067 0.30737789 0.79996874 0.77925539
  0.90556843 0.77568216 0.44110054 0.43272819 0.50502443 0.43137054
  0.8671281  0.855816   0.93542278 0.85404958]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.31123391 0.33505636 0.14257837 0.34114984 0.76013611 0.74168576
  0.89007832 0.73698849 0.43959907 0.43266767 0.5139531  0.43055303
  0.84807159 0.83836533 0.92872211 0.83565816]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.18151962 0.2042101  0.08777263 0.19178733 0.8623343  0.84509238
  0.93348802 0.85451513 0.51261097 0.50525165 0.55175512 0.5080137
  0.91225055 0.90266032 0.95611368 0.90732852]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.22891994 0.24736122 0.11104836 0.25835338 0.77980182 0.76213434
  0.8932834  0.75156417 0.52093703 0.51480526 0.57615343 0.51030731
  0.88713752 0.87940952 0.94449464 0.87453599]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21195918 0.22388027 0.10110308 0.24510054 0.8378882  0.82878114
  0.92285167 0.81255104 0.4800457  0.47552146 0.53453394 0.4674648
  0.89477771 0.88938798 0.94949364 0.87991353]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.19519309 0.22251883 0.08127526 0.20184879 0.88298963 0.86660156
  0.95132119 0.87899218 0.46564311 0.45759093 0.512577   0.46235125
  0.90693595 0.89652439 0.95938873 0.90372023]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.23436421 0.25153673 0.10241448 0.26330551 0.84651023 0.83531009
  0.93291347 0.8276045  0.45446527 0.4490108  0.51450437 0.44481556
  0.88511617 0.87825371 0.948853   0.87313525]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16091994 0.1898442  0.0765536  0.16016916 0.79329329 0.75615465
  0.90177869 0.7942676  0.63145213 0.61942056 0.67278653 0.63220657
  0.92007881 0.9066739  0.96173826 0.92056439]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.13406907 0.15983273 0.06819893 0.13744281 0.72342501 0.67011552
  0.85954907 0.71632479 0.72975791 0.71918507 0.76129202 0.72872849
  0.93356075 0.92176264 0.96591936 0.93216149]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.20965777 0.23499505 0.12688553 0.24600292 0.84704488 0.82856087
  0.90742536 0.82053047 0.49171542 0.48113167 0.53174198 0.47722766
  0.89540471 0.8830458  0.93659112 0.878138  ]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14342229 0.16781588 0.06587104 0.14534421 0.88636728 0.86705352
  0.94780634 0.88485602 0.54967577 0.54166012 0.58262862 0.54839439
  0.93083956 0.92117814 0.96708707 0.92966341]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.13732496 0.14957946 0.05896582 0.14357717 0.80869951 0.79163408
  0.9179364  0.79999652 0.66245503 0.65748314 0.70131862 0.66019507
  0.9317708  0.9260743  0.97051709 0.92887547]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14332496 0.16307126 0.06818638 0.1534437  0.84965564 0.8286903
  0.92848655 0.83880426 0.59293453 0.58603787 0.62794827 0.58892186
  0.92962983 0.92135453 0.96596328 0.92501753]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16269388 0.18652392 0.07607986 0.17137826 0.72747716 0.68770139
  0.8728864  0.71306153 0.68440462 0.67559949 0.72451734 0.68197695
  0.91986248 0.90958669 0.96200901 0.91653697]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.17797802 0.20621296 0.0771591  0.17848732 0.7964364  0.76418702
  0.91182696 0.79589243 0.64190352 0.63098293 0.68929447 0.64232319
  0.91196421 0.89924413 0.96142798 0.91208823]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.22026688 0.24405666 0.08388236 0.22960273 0.82709714 0.80837478
  0.93408284 0.81972298 0.58388563 0.57776794 0.6391647  0.58279252
  0.89457614 0.88584226 0.95812658 0.89219387]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.13743171 0.15562578 0.0786054  0.15429263 0.82071884 0.7969615
  0.89770679 0.79870123 0.63143687 0.62345849 0.65677917 0.62423426
  0.93312276 0.9243868  0.96073118 0.92515902]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.15277237 0.16595765 0.05980348 0.15854046 0.71698467 0.69232801
  0.88931515 0.70608075 0.73624414 0.73117264 0.78057419 0.7340643
  0.92409984 0.9180965  0.97009826 0.92151457]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.23430455 0.26703454 0.09409746 0.24359446 0.81187847 0.78565357
  0.9245889  0.80446904 0.55699605 0.54799125 0.6149323  0.55522439
  0.88722951 0.87485513 0.95306421 0.88435662]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.24168603 0.26726407 0.12196308 0.28366741 0.74897044 0.72220633
  0.87330175 0.70515815 0.54960054 0.54206606 0.60136687 0.5351802
  0.88327881 0.87343489 0.93921799 0.86566712]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.19698273 0.21777421 0.08279058 0.20942319 0.77551229 0.75167273
  0.90564426 0.76119373 0.62659936 0.62050414 0.67544374 0.62308369
  0.90483171 0.89653854 0.95864236 0.89981606]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14235793 0.1552862  0.0618145  0.15324561 0.78707403 0.76760927
  0.9074734  0.77066432 0.69671003 0.6924386  0.73372556 0.69325106
  0.93003422 0.92441699 0.96909652 0.92542219]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21227943 0.24433964 0.11601473 0.24431448 0.80831385 0.77940671
  0.89523526 0.77942975 0.57030967 0.56049603 0.61131379 0.5593951
  0.89645997 0.88340675 0.94222605 0.88300429]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.19601884 0.23428446 0.09307469 0.20142433 0.82902886 0.79558067
  0.91886276 0.82425257 0.56001932 0.54736175 0.60647058 0.55963165
  0.90401381 0.88809477 0.95354548 0.90226477]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.22661538 0.24831706 0.09418844 0.24790831 0.8231528  0.80614811
  0.92645793 0.80646721 0.5201952  0.51400388 0.57907756 0.51483931
  0.89022261 0.8818708  0.9530639  0.88234684]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.22810675 0.24789574 0.09375549 0.24759704 0.72790316 0.70418451
  0.88824159 0.70454363 0.60347874 0.59861354 0.66086678 0.59755231
  0.88992904 0.88271911 0.95317496 0.88208744]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.29609419 0.32527787 0.11709711 0.32220283 0.72245245 0.69500963
  0.89013055 0.69789287 0.51533692 0.50877529 0.58925862 0.5085742
  0.85898336 0.84889528 0.94163216 0.84943671]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.28010989 0.31263815 0.11618415 0.2990646  0.84036154 0.82191681
  0.93380526 0.82964876 0.42833883 0.41947111 0.49659052 0.42441659
  0.86565683 0.85338899 0.94203216 0.8594287 ]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.15681947 0.16957663 0.08765341 0.18789479 0.89406235 0.88543555
  0.94078377 0.87306123 0.49800419 0.49396355 0.52849114 0.48689791
  0.92338367 0.91824899 0.95623729 0.91024069]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.12526217 0.14684086 0.07024446 0.1297961  0.8283822  0.7986898
  0.90374134 0.82205545 0.625601   0.61532368 0.65573487 0.62314394
  0.93785495 0.9277794  0.96489659 0.93553208]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.13080377 0.14173466 0.07625869 0.15315128 0.84917676 0.83662809
  0.9121835  0.82346911 0.60017807 0.59487894 0.62824051 0.5896705
  0.9347865  0.92956657 0.96189701 0.92391108]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.12450863 0.13084312 0.07806265 0.14978698 0.86544233 0.8586626
  0.9156528  0.83819954 0.57040732 0.56649551 0.59453336 0.55843417
  0.93801695 0.9348501  0.96098374 0.9261441 ]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.10900471 0.12409879 0.05138607 0.11161314 0.89609785 0.88169495
  0.95103291 0.89359734 0.55223459 0.54551296 0.58172785 0.55077447
  0.94629262 0.93942964 0.9743145  0.94501596]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.17807849 0.21174677 0.12028775 0.21342577 0.91408456 0.89787329
  0.94195602 0.89706332 0.45494786 0.44319978 0.47728967 0.44361553
  0.9126449  0.89745822 0.9400293  0.89679228]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.13589011 0.16072254 0.07425395 0.14058388 0.8639468  0.83898818
  0.92561255 0.8591625  0.54455256 0.532899   0.57788268 0.54236746
  0.93274443 0.92118945 0.96288056 0.93053813]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.14219152 0.15702181 0.08396707 0.17206999 0.84547967 0.82926678
  0.90875898 0.81290328 0.60483195 0.59967433 0.63235357 0.59226082
  0.93004207 0.92370765 0.958088   0.91651559]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16145997 0.16538226 0.09594847 0.20739518 0.88443714 0.8816797
  0.93137413 0.85162217 0.53084433 0.52980494 0.56128606 0.51262328
  0.92032496 0.91896901 0.95213118 0.89988304]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.13559184 0.16259963 0.09720654 0.16080114 0.88515596 0.86235919
  0.91765493 0.86388161 0.54304361 0.5302125  0.56156324 0.53147044
  0.93250926 0.919202   0.95140426 0.92028235]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.1010832  0.10546621 0.04577341 0.11012593 0.86183137 0.85584994
  0.93745358 0.8494798  0.65245274 0.65034685 0.67851234 0.64846335
  0.95039278 0.948429   0.97711329 0.94635193]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.09256829 0.09275417 0.04503614 0.10771432 0.71640336 0.71550631
  0.86192359 0.66962085 0.79419506 0.79426705 0.81841052 0.78706051
  0.95379874 0.95372101 0.97748193 0.94635413]]"
