image,label,orb_0,orb_1,orb_2,orb_3,orb_4,orb_5,orb_6,orb_7,orb_8,orb_9,orb_10,orb_11,orb_12,orb_13,orb_14,orb_15,orb_16,orb_17,orb_18,orb_19,orb_20,orb_21,orb_22,orb_23,orb_24,orb_25,orb_26,orb_27,orb_28,orb_29,orb_30,orb_31
SOB_B_A-14-22549AB-40-011,0,101.95,120.876,123.772,146.346,129.93,138.756,142.868,131.49,126.846,112.15,141.28,113.81,121.782,140.558,120.756,112.784,147.258,126.678,111.54,133.74,137.478,138.678,109.984,146.79,132.38,136.568,129.486,127.58,119.866,123.248,127.986,142.424
SOB_B_A-14-22549AB-40-012,0,100.236,122.178,117.282,144.148,124.366,140.78,143.692,127.908,127.834,105.938,139.24,108.808,134.462,138.326,115.956,112.412,144.098,120.958,107.226,125.522,128.866,128.412,102.116,142.832,132.362,140.47,119.298,125.424,123.634,120.25,124.24,139.356
SOB_B_A-14-22549AB-40-013,0,106.752,135.332,133.456,145.006,136.746,131.502,136.254,141.456,121.648,125.436,137.746,104.082,129.58,142.048,116.248,112.036,141.072,135.644,116.412,133.3,124.076,125.178,122.858,140.394,136.762,138.538,124.304,123.414,127.336,126.032,138.328,137.268
SOB_B_A-14-22549AB-40-014,0,107.372,130.566,133.63,149.116,134.666,133.12,134.752,136.476,118.66,124.698,134.372,117.702,139.582,142.366,120.74,113.966,137.476,125.302,116.102,125.064,131.754,123.848,125.358,149.144,141.654,143.128,124.24,129.974,125.58,131.494,129.4,134.134
SOB_B_A-14-22549AB-40-015,0,104.39314516129032,117.90120967741936,121.3225806451613,134.01612903225808,128.13709677419354,138.3508064516129,137.2056451612903,124.08266129032258,128.9616935483871,118.42137096774194,137.90725806451613,118.15322580645162,125.99395161290325,136.04032258064515,115.5524193548387,115.59677419354838,142.84475806451613,131.2116935483871,124.87701612903226,122.26612903225806,126.33870967741936,131.50604838709677,120.6875,142.34274193548387,132.2883064516129,137.7681451612903,115.33266129032258,132.0423387096774,120.90524193548389,117.49193548387096,129.8366935483871,136.10282258064515
SOB_B_A-14-22549AB-40-016,0,104.888,124.946,120.506,125.308,118.634,138.5,140.288,131.22,129.718,110.184,141.246,109.848,121.464,126.876,112.36,109.24,130.452,134.322,116.794,127.458,128.17,134.55,113.068,124.68,128.32,136.286,108.35,112.882,121.452,121.07,128.218,135.902
SOB_B_A-14-22549AB-40-017,0,109.488,132.116,122.266,131.362,122.588,135.876,137.832,131.012,130.33,112.292,140.282,108.178,132.048,131.13,114.202,105.13,134.706,127.366,113.222,120.682,121.65,138.664,112.026,125.788,137.96,142.884,114.57,107.17,116.416,121.938,126.876,132.254
SOB_B_A-14-22549AB-40-018,0,96.33064516129032,129.90725806451613,114.8850806451613,153.2883064516129,123.41532258064515,140.98991935483872,139.74395161290323,127.19959677419357,122.31653225806453,96.5383064516129,149.27620967741936,104.93346774193547,127.28024193548389,129.2116935483871,111.0100806451613,105.8850806451613,156.05241935483872,123.64717741935485,115.65120967741936,127.47782258064515,122.44354838709675,128.8084677419355,110.91532258064515,151.65322580645162,146.3508064516129,153.80040322580646,126.07862903225806,133.42540322580646,115.2883064516129,113.48185483870968,129.47782258064515,139.9616935483871
SOB_B_A-14-22549AB-40-019,0,96.316,129.276,113.642,149.934,119.746,144.488,138.268,132.118,129.956,91.952,156.496,110.29,120.312,127.84,113.518,117.47,150.156,128.47,110.246,130.64,119.846,129.012,98.742,152.3,141.052,156.578,119.892,118.066,111.616,115.59,131.258,143.618
SOB_B_A-14-22549AB-40-020,0,111.54929577464787,114.52112676056338,119.79678068410465,147.1046277665996,120.77464788732394,125.96780684104628,164.30985915492957,114.90342052313883,122.63782696177064,99.3158953722334,165.1810865191147,89.63983903420524,129.57142857142858,124.22535211267606,104.14889336016095,99.2112676056338,153.99195171026156,141.17303822937626,136.51106639839034,122.9456740442656,113.1569416498994,122.56136820925552,117.74849094567404,165.7102615694165,130.93963782696176,141.80281690140845,117.56338028169014,127.07042253521126,114.83702213279678,109.6056338028169,123.6036217303823,131.68008048289738
SOB_B_A-14-22549AB-40-021,0,112.656,117.62,126.076,155.29,119.438,128.87,166.632,121.222,122.918,115.488,161.356,95.932,129.222,131.66,125.344,106.384,160.01,139.594,143.648,134.558,128.312,127.478,127.036,182.4,123.932,146.02,126.82,146.978,113.646,123.35,122.628,145.128
SOB_B_A-14-22549AB-40-022,0,103.808,120.906,126.174,152.98,136.178,133.204,141.036,133.452,124.858,113.746,143.436,118.426,121.54,134.378,121.872,109.832,141.688,134.74,119.576,132.734,124.114,123.236,111.722,162.422,128.276,140.762,126.794,134.878,122.808,129.826,128.69,139.308
SOB_B_A-14-22549AB-40-023,0,106.00603621730384,118.18712273641852,118.87122736418512,154.43058350100603,120.79678068410465,130.82494969818913,150.53319919517102,129.01207243460766,115.00804828973844,100.90342052313883,146.8370221327968,116.49295774647888,114.71428571428572,125.93762575452716,127.04426559356136,106.50503018108652,142.54527162977868,135.4527162977867,107.06237424547284,141.87525150905432,133.65191146881287,126.5814889336016,95.88933601609658,169.79879275653923,127.7364185110664,136.0784708249497,136.00603621730383,131.44869215291752,110.15291750503016,128.52515090543258,129.38631790744466,135.61368209255534
SOB_B_A-14-22549AB-40-024,0,108.048,129.42,122.646,139.842,122.898,138.326,145.678,135.924,121.236,112.926,141.082,117.63,123.584,133.53,123.368,115.602,140.534,132.418,110.544,138.776,135.778,131.792,111.036,151.958,129.856,129.832,130.366,132.562,117.878,121.532,130.378,141.602
SOB_B_A-14-22549AB-40-025,0,106.30864197530865,123.8148148148148,123.6872427983539,160.9362139917695,127.04732510288066,127.18312757201646,153.1378600823045,141.880658436214,115.10288065843622,103.63168724279836,146.64197530864195,94.64197530864196,122.8477366255144,133.09259259259258,119.33744855967078,106.30658436213992,150.96913580246914,134.52469135802468,104.2201646090535,148.91358024691357,133.30658436213992,125.19341563786008,100.34979423868312,174.41975308641975,130.56172839506172,132.27366255144034,145.0164609053498,141.7139917695473,115.15020576131688,126.13786008230451,139.5576131687243,127.72222222222224
SOB_B_A-14-22549AB-40-026,0,103.822,126.234,118.62,141.254,120.562,140.672,139.726,133.054,129.466,108.272,144.784,107.568,121.148,137.946,111.688,106.632,138.856,131.874,112.996,132.418,126.71,126.102,116.43,142.716,135.868,144.504,119.512,122.822,120.122,122.156,124.87,141.028
SOB_B_A-14-22549AB-40-027,0,104.674,133.886,120.314,154.834,133.384,145.626,148.034,140.94,124.732,106.736,141.248,114.294,121.762,143.542,118.122,108.864,149.284,129.772,116.19,136.252,133.668,120.138,107.128,169.688,126.77,125.59,132.276,141.288,118.286,117.954,131.93,144.242
SOB_B_A-14-22549AB-40-028,0,97.2,127.314,125.794,162.978,131.234,144.164,151.444,137.906,122.856,106.342,139.92,111.264,128.544,147.052,125.942,113.188,149.18,127.842,114.77,139.528,131.698,133.292,103.562,175.732,126.756,129.642,138.828,140.11,117.992,123.794,133.62,142.828
SOB_B_A-14-22549AB-40-029,0,100.946,126.57,119.08,155.492,123.066,141.232,145.962,136.952,118.858,108.928,144.808,115.558,122.702,137.614,120.522,114.154,149.92,134.472,113.332,135.866,129.924,133.538,102.282,166.35,131.132,135.592,136.21,129.294,111.964,125.794,123.354,139.892
SOB_B_A-14-22549CD-40-001,0,96.22020202020202,121.12525252525252,124.33333333333331,162.210101010101,122.9070707070707,134.32525252525252,138.04848484848486,130.95151515151514,110.88888888888889,110.88686868686868,142.93939393939394,108.16767676767677,124.64242424242424,137.0949494949495,112.4141414141414,110.54949494949496,144.88888888888889,138.83232323232323,113.06262626262628,134.16161616161617,119.5959595959596,126.42424242424242,103.9838383838384,162.99191919191918,138.53131313131314,145.64444444444445,139.33939393939394,121.83030303030304,109.5878787878788,124.45656565656566,126.56161616161616,135.74343434343433
SOB_B_A-14-22549CD-40-002,0,94.22222222222224,127.24888888888889,121.32888888888888,152.57111111111112,124.14222222222222,144.78666666666666,144.4488888888889,130.52,117.75777777777778,119.58888888888887,136.78,111.15333333333334,113.62,137.73777777777778,124.39111111111112,113.66,150.00666666666666,129.94222222222223,102.76222222222222,135.5088888888889,126.75777777777778,131.41333333333333,104.52222222222224,162.04222222222222,126.45777777777778,122.08444444444444,141.5822222222222,123.04,112.89777777777778,114.27111111111113,128.38666666666666,143.75555555555556
SOB_B_A-14-22549CD-40-003,0,102.864,121.588,122.036,154.82,125.362,130.766,146.342,128.546,118.404,120.482,138.148,119.708,120.736,129.186,124.61,114.478,146.268,127.756,112.322,137.828,126.924,130.364,105.65,174.444,125.832,120.284,141.79,137.744,113.734,120.162,125.35,137.898
SOB_B_A-14-22549CD-40-004,0,105.9562363238512,117.82713347921224,131.94967177242887,170.82056892778994,124.3522975929978,126.96280087527352,154.98030634573306,125.90809628008752,112.15754923413569,116.03501094091904,150.15317286652078,112.86870897155362,116.26039387308532,141.9124726477024,128.41356673960613,116.38949671772428,152.21006564551422,147.50765864332604,112.98030634573304,152.2910284463895,128.67833698030634,132.72428884026257,109.12253829321664,190.79212253829323,127.83369803063458,138.73741794310723,153.6980306345733,139.42013129102844,109.38949671772428,125.2253829321663,121.07221006564552,135.1487964989059
SOB_B_A-14-22549CD-40-005,0,98.652977412731,110.13141683778234,131.41683778234085,167.75154004106776,132.17248459958932,133.2710472279261,163.70431211498973,115.86652977412732,117.17248459958932,118.39014373716633,140.33675564681724,120.23613963039014,120.217659137577,129.71868583162217,140.6324435318275,113.29568788501028,152.96509240246405,126.28336755646818,120.93018480492812,138.33264887063655,141.63449691991786,134.2258726899384,114.18685831622176,188.15195071868584,113.72689938398358,134.5687885010267,141.55030800821356,146.54209445585215,114.36550308008214,122.782340862423,131.91375770020534,155.26283367556468
SOB_B_A-14-22549CD-40-006,0,102.05858585858586,109.46666666666668,129.35959595959596,175.02626262626262,126.1939393939394,115.57171717171715,153.46868686868686,129.81616161616162,108.29292929292929,120.3050505050505,140.75959595959597,105.37979797979798,127.42222222222222,125.85050505050503,131.25050505050504,110.2040404040404,150.23232323232324,133.04646464646464,103.57979797979796,149.7010101010101,132.6,131.56767676767677,102.67070707070708,185.1171717171717,126.6989898989899,121.86262626262626,158.6080808080808,138.5151515151515,112.05454545454543,127.62828282828283,124.0060606060606,129.1131313131313
SOB_B_A-14-22549CD-40-007,0,91.76,118.954,110.626,168.172,115.55,140.01,150.786,130.338,120.85,90.552,149.954,96.688,121.946,134.966,121.622,113.474,153.948,132.61,101.014,140.384,130.688,129.4,96.578,177.562,130.616,139.532,135.198,128.38,108.464,120.312,127.206,141.73
SOB_B_A-14-22549CD-40-008,0,102.722,120.334,109.496,165.424,114.672,135.728,149.924,124.592,124.46,93.288,148.362,100.124,123.15,121.862,122.316,121.376,152.42,129.142,94.968,135.864,133.886,131.29,100.406,161.168,138.728,146.326,129.738,128.89,104.926,117.816,128.484,136.712
SOB_B_A-14-22549CD-40-009,0,102.91919191919192,121.1050505050505,126.94747474747474,165.2828282828283,128.6141414141414,122.1070707070707,152.1818181818182,134.43434343434345,115.08282828282827,109.16767676767677,139.1070707070707,113.1818181818182,115.9979797979798,136.62424242424242,132.42626262626263,117.45858585858586,147.5878787878788,129.67474747474748,106.7838383838384,141.25656565656567,138.47272727272727,129.3070707070707,101.6020202020202,170.3959595959596,125.9919191919192,129.48888888888888,144.73939393939395,130.5050505050505,110.61616161616162,133.90707070707072,127.10909090909092,144.91919191919192
SOB_B_A-14-22549CD-40-010,0,90.196,118.036,121.826,169.696,122.458,133.046,159.35,129.47,116.054,101.308,149.486,112.578,121.57,138.974,128.832,117.066,153.408,133.764,113.062,149.246,133.452,121.642,95.468,187.894,125.544,130.806,142.296,144.294,110.754,122.432,122.918,145.368
SOB_B_A-14-22549CD-40-011,0,102.8,110.104,131.59,171.174,126.726,119.966,150.498,124.584,117.388,119.63,145.41,106.468,127.292,132.824,127.036,121.08,149.224,138.912,105.774,137.188,130.282,123.81,107.906,178.562,132.27,137.592,153.802,137.718,117.132,135.888,125.494,132.362
SOB_B_A-14-22549CD-40-012,0,106.358,124.088,120.784,164.81,121.598,127.038,143.988,131.252,116.368,109.928,143.82,105.764,128.134,132.124,114.43,108.236,150.206,135.4,112.836,133.906,122.612,122.032,108.624,166.288,139.366,137.204,144.442,125.992,115.702,125.688,132.524,133.152
SOB_B_A-14-22549CD-40-013,0,101.742,120.374,126.108,149.666,121.54,135.902,143.502,132.874,126.172,117.834,143.7,103.996,122.26,128.68,118.664,110.154,147.868,131.176,115.34,127.27,123.152,124.884,107.446,155.0,130.92,129.95,126.82,120.656,121.918,121.182,118.95,139.318
SOB_B_A-14-22549CD-40-014,0,105.12,120.418,129.668,140.786,128.172,133.978,138.504,133.304,119.59,127.314,139.24,109.586,121.692,129.364,116.398,108.496,138.636,134.934,113.432,131.132,132.5,130.848,110.696,143.454,128.482,130.306,124.26,125.946,125.256,131.182,122.964,143.642
SOB_B_A-14-22549CD-40-015,0,108.53722334004024,125.77867203219316,129.31991951710262,146.30985915492957,128.59959758551307,130.22736418511067,141.85714285714286,137.96378269617705,118.215291750503,124.3943661971831,133.44869215291752,119.46076458752516,126.67605633802818,135.8712273641851,124.42857142857144,112.77867203219316,136.95774647887325,131.26760563380282,122.86519114688129,132.841046277666,129.64989939637826,120.17907444668008,118.12676056338027,147.7364185110664,136.3400402414487,132.09255533199195,130.26961770623743,131.97987927565393,119.1307847082495,134.07243460764587,122.93561368209257,141.39839034205232
SOB_B_A-14-22549CD-40-016,0,86.85714285714286,118.87420042643924,124.47974413646055,177.24520255863538,129.70575692963752,136.0810234541578,161.09381663113007,133.76119402985074,112.46055437100212,107.1727078891258,138.8081023454158,115.59914712153518,118.37100213219615,144.25799573560766,126.76759061833688,116.87846481876332,155.8678038379531,131.31556503198294,109.136460554371,143.35607675906184,135.02985074626866,123.98720682302772,92.20042643923242,196.14285714285717,115.13006396588486,111.32835820895522,160.38379530916845,138.9594882729211,110.42643923240938,122.33475479744136,135.52452025586354,145.7036247334755
SOB_B_A-14-22549CD-40-017,0,106.96791443850267,119.98395721925134,116.33422459893048,148.3850267379679,117.08823529411764,127.5,142.02139037433156,120.1524064171123,119.09358288770052,107.975935828877,148.94652406417111,100.06684491978608,122.3475935828877,138.10160427807486,111.60695187165776,101.60695187165776,143.7058823529412,129.75133689839572,120.37433155080214,124.94385026737967,116.77807486631016,134.78877005347593,111.76737967914438,158.91711229946523,121.84491978609626,131.2941176470588,122.78609625668447,128.97326203208556,109.44652406417111,112.33422459893048,117.13903743315508,127.99465240641712
SOB_B_A-14-22549CD-40-018,0,103.00434782608696,116.96304347826089,120.37826086956522,149.08695652173913,129.1413043478261,136.57391304347826,141.76521739130436,123.02826086956522,121.15217391304348,105.3195652173913,141.78478260869565,109.7391304347826,125.75869565217393,132.57391304347826,112.23478260869564,106.16956521739132,148.3282608695652,129.6891304347826,125.0108695652174,130.59347826086957,124.94130434782608,127.63695652173914,102.43695652173912,161.55217391304348,128.2913043478261,128.90434782608696,119.99565217391304,128.3978260869565,112.64347826086956,112.95,119.77826086956522,146.0326086956522
SOB_B_A-14-22549CD-40-019,0,100.05567928730513,119.10913140311804,119.57238307349664,163.83296213808464,126.21826280623608,140.05790645879733,147.24053452115814,134.83073496659242,116.52783964365256,103.04231625835187,140.46770601336303,113.28507795100222,118.70824053452117,134.56792873051225,133.9977728285078,117.67483296213808,142.1380846325167,129.1291759465479,112.4988864142539,136.56347438752783,130.42761692650333,123.68596881959913,99.76391982182628,175.06458797327394,127.50779510022272,126.48552338530068,133.2694877505568,132.80623608017817,111.28730512249444,129.10467706013364,129.41202672605792,149.24944320712694
SOB_B_A-14-22549CD-40-020,0,93.56756756756756,118.990990990991,113.04504504504504,180.8175675675676,124.37387387387388,136.17567567567568,146.93243243243242,136.00900900900902,107.42342342342344,96.91891891891892,136.11711711711712,123.98873873873872,112.90315315315316,140.59684684684686,123.88063063063063,120.15765765765764,155.22522522522522,125.96846846846849,93.88288288288288,148.13063063063063,131.9436936936937,120.768018018018,79.58108108108108,192.13963963963965,124.95045045045045,123.68693693693692,152.95495495495496,136.5608108108108,103.518018018018,121.57207207207207,133.75675675675674,145.89864864864865
SOB_B_A-14-22549CD-40-021,0,91.73177083333331,121.01822916666669,116.4453125,178.15625,121.0703125,141.37239583333334,149.47395833333334,135.13020833333334,112.16927083333331,100.96354166666669,127.95052083333331,109.04427083333331,126.30729166666669,139.25260416666666,119.80989583333331,119.2890625,162.39322916666666,119.3203125,104.05208333333331,129.5546875,116.77083333333331,114.89322916666669,87.77604166666667,195.90364583333331,124.12239583333331,120.57552083333331,152.29427083333334,129.33333333333334,106.09114583333331,110.0078125,125.98177083333331,137.4453125
SOB_B_A-14-22549CD-40-022,0,96.87410926365796,112.23990498812351,117.45605700712588,182.16152019002377,112.14726840855108,133.7957244655582,140.99287410926365,127.06175771971496,101.64608076009502,97.70546318289786,132.27790973871734,120.95724465558196,120.1686460807601,124.83372921615202,126.09738717339668,120.39667458432304,153.33016627078385,124.29691211401423,96.48693586698336,143.7957244655582,128.51543942992873,118.59382422802852,86.458432304038,190.2517814726841,128.3182897862233,124.541567695962,158.4916864608076,133.48218527315913,93.54631828978624,125.7957244655582,125.562945368171,127.67220902612829
SOB_B_A-14-22549CD-40-023,0,95.17218543046356,111.79028697571744,124.0,172.76600441501105,123.24282560706402,129.07726269315674,156.9139072847682,132.79470198675497,118.43267108167773,104.89403973509934,143.64459161147903,113.598233995585,111.16997792494482,130.79028697571744,132.65562913907286,111.49006622516556,149.66004415011037,137.4878587196468,109.72847682119205,141.1898454746137,129.31788079470198,117.02207505518764,102.54304635761588,186.1169977924945,134.560706401766,123.6092715231788,149.0242825607064,139.560706401766,104.65562913907284,120.33333333333331,121.68432671081678,144.35099337748343
SOB_B_A-14-22549CD-40-024,0,95.92677345537756,123.1350114416476,117.324942791762,168.02059496567506,128.2562929061785,133.37299771167048,150.92219679633868,132.89244851258582,117.720823798627,110.97482837528604,141.3340961098398,109.5949656750572,123.95194508009152,140.26773455377574,127.26773455377574,118.42562929061783,160.9633867276888,127.95423340961098,113.03203661327233,132.68421052631578,127.1304347826087,113.83524027459954,101.13729977116704,183.837528604119,124.95423340961098,125.87643020594966,141.61098398169335,138.12128146453088,109.48741418764304,110.3066361556064,126.81464530892448,137.4096109839817
SOB_B_A-14-22549CD-40-025,0,94.15,118.64285714285714,121.26190476190476,167.63333333333333,136.1952380952381,135.8047619047619,145.42619047619047,129.46190476190475,105.06190476190476,113.88809523809525,138.02857142857144,110.20238095238096,124.33333333333331,129.81190476190477,123.88095238095238,112.41190476190476,149.38095238095238,124.8547619047619,107.4452380952381,127.97619047619048,125.15238095238097,126.9,102.1595238095238,177.58095238095237,124.05,124.32619047619048,141.04285714285714,131.84761904761905,115.1452380952381,120.89761904761905,131.94761904761904,137.55714285714285
SOB_B_A-14-22549CD-40-026,0,104.08583690987123,125.17381974248929,122.01287553648068,160.60085836909872,130.78540772532187,133.98497854077254,143.96781115879827,135.46137339055795,122.71459227467813,122.08369098712448,129.48283261802575,112.65236051502146,129.22961373390558,126.43562231759655,127.6695278969957,114.5450643776824,147.22532188841203,122.12231759656652,119.5665236051502,126.07510729613732,135.6931330472103,114.19957081545064,117.43562231759655,165.38841201716738,130.28540772532187,126.53218884120172,135.46995708154506,137.45708154506437,113.78969957081546,118.75321888412016,129.36695278969958,142.00643776824035
SOB_B_A-14-22549CD-40-027,0,114.75909090909092,110.13181818181818,139.2977272727273,180.85227272727272,119.56590909090907,125.97272727272728,167.95909090909092,111.88409090909092,116.58181818181818,103.87272727272727,145.95454545454547,113.71818181818182,125.61136363636363,114.49545454545456,122.40681818181818,109.98863636363636,169.0590909090909,144.08409090909092,123.35909090909092,140.08863636363637,137.2068181818182,126.20227272727271,107.29772727272729,189.64772727272728,144.55227272727274,166.68636363636364,149.05227272727274,151.91363636363636,111.83181818181818,138.62045454545455,123.8181818181818,131.10454545454544
SOB_B_A-14-22549CD-40-028,0,104.63967611336032,114.76518218623482,127.84412955465586,168.72267206477733,126.63157894736842,126.0,151.94534412955466,122.85425101214577,117.7834008097166,110.9676113360324,147.77125506072875,109.04453441295549,131.57692307692307,126.54655870445345,111.41093117408909,113.72267206477731,157.93724696356276,136.7834008097166,124.54858299595142,131.69230769230768,118.89676113360323,129.04048582995952,118.52429149797572,173.55263157894737,137.33805668016194,144.83805668016194,134.48178137651823,130.08906882591094,114.46356275303644,123.63157894736842,121.38663967611336,136.94736842105263
SOB_B_A-14-22549CD-40-029,0,105.732,106.778,111.298,168.816,107.846,129.35,142.492,111.33,123.564,100.12,158.678,96.28,134.29,133.184,108.69,119.01,151.932,131.732,122.01,123.082,115.124,133.732,122.462,166.434,149.066,164.952,128.036,124.196,105.11,121.886,117.372,122.414
SOB_B_A-14-22549CD-40-030,0,102.204,112.486,122.838,166.844,107.322,126.03,144.47,118.826,125.194,103.894,164.374,104.908,136.964,132.018,113.828,123.926,148.34,144.594,124.542,132.996,125.566,135.554,116.704,165.674,154.908,161.566,131.084,128.716,109.066,127.298,116.08,118.75
SOB_B_A-14-22549CD-40-031,0,103.726,125.27,118.106,153.61,118.622,135.64,142.85,124.918,126.242,103.158,156.702,97.474,123.776,140.054,114.666,112.898,143.094,143.932,124.228,124.698,114.316,131.064,118.056,160.202,140.226,148.064,122.38,125.862,117.696,116.744,125.996,128.342
SOB_B_A-14-22549CD-40-032,0,104.986,119.23,120.216,149.998,119.794,130.234,136.562,125.572,125.682,107.996,147.302,109.844,131.988,126.914,114.946,117.068,142.372,134.262,128.49,133.212,121.748,122.714,117.368,146.54,145.264,146.172,125.776,126.886,117.38,119.192,126.572,126.098
SOB_B_A-14-22549CD-40-033,0,100.078,125.404,126.07,161.954,123.168,130.838,146.718,132.346,121.298,118.606,137.378,123.458,132.788,135.528,127.95,117.914,142.02,132.342,113.068,140.002,137.032,127.086,116.614,175.476,133.722,126.684,145.606,133.682,110.444,128.922,127.942,138.984
SOB_B_A-14-22549CD-40-034,0,110.07786885245902,123.61680327868852,126.7889344262295,152.34016393442624,115.7377049180328,124.34631147540983,138.4262295081967,126.23360655737704,123.44262295081968,112.5184426229508,140.61065573770492,113.3217213114754,136.49385245901638,127.74180327868852,119.88524590163937,114.92418032786884,140.68237704918033,132.4139344262295,104.09016393442624,138.2233606557377,126.56352459016394,131.16803278688525,113.6434426229508,152.50614754098362,134.797131147541,137.18852459016392,138.76434426229508,122.37909836065572,118.1311475409836,128.37704918032787,131.00819672131146,125.6905737704918
SOB_B_A-14-22549CD-40-035,0,100.804,125.194,111.164,152.926,117.892,140.386,145.526,128.804,123.73,109.808,137.286,112.022,135.35,135.58,118.27,109.886,148.966,126.768,117.908,127.148,132.276,123.096,107.23,163.718,133.384,130.284,138.712,137.534,109.952,113.178,124.496,134.884
SOB_B_A-14-22549G-40-001,0,115.864,129.546,123.438,143.708,125.17,138.918,127.07,132.344,126.4,109.936,141.208,92.158,133.646,131.346,104.24,115.902,141.362,135.42,117.758,116.414,112.886,122.468,132.776,124.322,146.882,161.206,109.526,101.768,126.696,124.948,132.204,124.086
SOB_B_A-14-22549G-40-002,0,107.394,129.188,120.68,131.714,125.136,138.81,126.884,122.09,125.278,113.976,132.478,111.078,135.962,123.794,106.324,115.078,134.638,122.632,123.84,120.464,119.416,123.056,125.002,128.092,141.726,145.602,113.87,109.908,124.46,119.746,129.842,127.508
SOB_B_A-14-22549G-40-003,0,110.05,132.82,124.984,130.692,129.784,128.066,127.016,128.166,125.06,125.034,132.32,107.436,134.618,124.968,113.216,110.132,128.77,126.044,118.518,115.276,126.88,134.582,125.666,117.016,136.142,150.262,113.792,110.658,120.042,123.194,126.702,126.948
