image,label,fos_0,fos_1,fos_2,fos_3
SOB_B_A-14-22549CD-40-013,0,179.58388471177946,236.09334768939445,0.0,-2.0
SOB_B_A-14-22549CD-40-014,0,185.77859649122806,181.9748742502653,0.0,-2.0
SOB_B_A-14-22549CD-40-015,0,187.69819235588972,206.21887144804367,0.0,-2.0
SOB_B_A-14-22549CD-40-016,0,199.68800438596492,162.82532497171633,0.0,-1.9821428571428572
SOB_B_A-14-22549CD-40-017,0,190.59582393483709,221.35513530379393,0.0,-2.0
SOB_B_A-14-22549CD-40-018,0,182.83005952380952,182.41831226196123,0.0,-2.0
SOB_B_A-14-22549CD-40-019,0,185.83468984962406,157.92554224101815,0.0,-1.984732824427481
SOB_B_A-14-22549CD-40-020,0,191.90016604010026,102.7038168237881,0.0,-2.0
SOB_B_A-14-22549CD-40-021,0,193.4392888471178,82.14437908264357,0.0,-2.0
SOB_B_A-14-22549CD-40-022,0,190.2032111528822,84.50443688949036,0.0,-2.0
SOB_B_A-14-22549CD-40-023,0,189.39154761904763,141.0708616772096,0.0,-1.982608695652174
SOB_B_A-14-22549CD-40-024,0,187.32331140350877,186.29518732079677,0.0,-2.0
SOB_B_A-14-22549CD-40-025,0,181.05366228070176,177.9814238344224,0.0,-1.9834710743801653
SOB_B_A-14-22549CD-40-026,0,182.99570488721804,185.22434536387962,0.0,-2.0
SOB_B_A-14-22549CD-40-027,0,183.30536967418547,247.29410724394796,0.0,-2.0
SOB_B_A-14-22549CD-40-028,0,185.76105263157893,357.4367174602902,0.0,-2.0
SOB_B_A-14-22549CD-40-029,0,181.55622493734336,564.511216917292,0.0,-2.0
SOB_B_A-14-22549CD-40-030,0,180.85067669172932,616.1116656396093,0.0,-2.0
SOB_B_A-14-22549CD-40-031,0,181.60281015037594,681.7650015417967,0.0,-2.0
SOB_B_A-14-22549CD-40-032,0,186.11793233082707,368.12634873697385,0.0,-2.0
SOB_B_A-14-22549CD-40-033,0,187.13265037593985,360.9486045205432,0.0,-2.0
SOB_B_A-14-22549CD-40-034,0,179.6977224310777,287.2288338014871,0.0,-2.0
SOB_B_A-14-22549CD-40-035,0,187.45114974937343,355.2211348010751,0.0,-2.0
SOB_B_A-14-22549G-40-001,0,176.8021209273183,659.3984134362598,0.0,-2.0
SOB_B_A-14-22549G-40-002,0,176.66682644110276,605.0628747704154,0.0,-2.0
SOB_B_A-14-22549G-40-003,0,177.8555357142857,606.0541227019618,0.0,-2.0
SOB_B_A-14-22549G-40-004,0,181.78197681704262,591.0541674950994,0.0,-2.0
SOB_B_A-14-22549G-40-005,0,178.97469611528822,655.5416397764712,0.0,-2.0
SOB_B_A-14-22549G-40-006,0,176.05152255639098,672.5433017148034,0.0,-2.0
SOB_B_A-14-22549G-40-007,0,179.06978696741854,602.7813891301446,0.0,-2.0
SOB_B_A-14-22549G-40-008,0,185.87578007518798,593.5581819665036,0.0,-1.9852941176470589
SOB_B_A-14-22549G-40-009,0,180.40961466165413,647.7670448099142,0.0,-2.0
SOB_B_A-14-22549G-40-010,0,173.14467105263157,682.2742938915097,0.0,-1.9848484848484849
SOB_B_A-14-22549G-40-011,0,167.31421365914787,671.3909786240603,0.0,-2.0
SOB_B_A-14-22549G-40-012,0,180.8828477443609,931.3121026190937,0.0,-1.9869281045751634
SOB_B_A-14-22549G-40-013,0,177.13152882205515,1010.8814204627934,0.0,-2.0
SOB_B_A-14-22549G-40-014,0,173.86695802005013,898.4951321795857,0.0,-2.0
SOB_B_A-14-22549G-40-015,0,172.77973684210525,936.8239399167466,0.0,-2.0
SOB_B_A-14-22549G-40-016,0,185.4766729323308,1030.7851895442705,0.0,-2.0
SOB_B_A-14-22549G-40-017,0,180.65958020050127,877.5468638356499,0.0,-2.0
SOB_B_A-14-22549G-40-018,0,188.0990538847118,672.1245625957897,0.0,-2.0
SOB_B_A-14-22549G-40-019,0,190.7343076441103,530.2356999240641,0.0,-2.0
SOB_B_A-14-22549G-40-020,0,185.24548558897243,547.9015833687433,0.0,-2.0
SOB_B_A-14-22549G-40-021,0,181.575429197995,549.6270304709099,0.0,-2.0
SOB_B_A-14-22549G-40-022,0,180.5343828320802,552.1708670354603,0.0,-2.0
SOB_B_A-14-22549G-40-023,0,174.1158677944862,499.35356572507214,0.0,-2.0
SOB_B_A-14-22549G-40-024,0,182.47829573934837,706.045478181145,0.0,-2.0
SOB_B_A-14-22549G-40-025,0,183.81089912280703,596.5002775746759,0.0,-2.0
SOB_B_A-14-22549G-40-026,0,175.10240288220552,733.2683946975736,0.0,-2.0
SOB_B_A-14-22549G-40-027,0,173.84598370927318,671.4237885374714,0.0,-2.0
SOB_B_A-14-22549G-40-028,0,179.36244987468672,879.2870558501244,0.0,-2.0
SOB_B_A-14-22549G-40-029,0,177.6879260651629,866.8190076904831,0.0,-1.9863013698630136
SOB_B_A-14-22549G-40-030,0,172.82820488721805,804.5942079148274,0.0,-2.0
SOB_B_A-14-22549G-40-031,0,172.05177005012533,865.7994545495675,0.0,-2.0
SOB_B_A-14-22549G-40-032,0,181.59002192982456,719.1048925661833,0.0,-2.0
SOB_B_A-14-22549G-40-033,0,188.11420426065163,546.978473217976,0.0,-2.0
SOB_B_A-14-22549G-40-034,0,176.40494360902255,697.803230004591,0.0,-2.0
SOB_B_A-14-22549G-40-035,0,168.37073934837093,785.5259769446229,0.0,-2.0
SOB_B_A-14-29960CD-40-001,0,214.75516604010025,804.125591136083,0.0,-2.0
SOB_B_A-14-29960CD-40-002,0,211.21855576441104,761.3729242132024,0.0,-2.0
SOB_B_A-14-29960CD-40-003,0,199.1093045112782,855.5197796831214,0.0,-2.0
SOB_B_A-14-29960CD-40-004,0,215.1146992481203,973.1052884915126,0.0,-2.0
SOB_B_A-14-29960CD-40-005,0,209.52385651629072,924.1620080844302,0.0,-1.9908675799086757
SOB_B_A-14-29960CD-40-006,0,218.13948934837092,762.0052321712803,0.0,-1.9913419913419914
SOB_B_A-14-29960CD-40-007,0,221.44813596491227,528.8916372942055,0.0,-2.0
SOB_B_A-14-29960CD-40-008,0,218.49661967418547,472.41122817883877,0.0,-2.0
SOB_B_A-14-29960CD-40-009,0,214.3424498746867,461.0684934408898,0.0,-2.0
SOB_B_A-14-29960CD-40-010,0,220.27833646616543,351.02611963216896,0.0,-2.0
SOB_B_A-14-29960CD-40-011,0,204.69842418546367,486.50585158611415,0.0,-2.0
SOB_B_A-14-29960CD-40-012,0,216.33932330827068,379.44235148578764,0.0,-2.0
SOB_B_A-14-29960CD-40-013,0,191.58351817042606,768.6628954746889,0.0,-2.0
SOB_B_A-14-29960CD-40-014,0,198.7580670426065,757.6419718308046,0.0,-2.0
SOB_B_A-14-29960CD-40-015,0,197.2188941102757,637.424951039863,0.0,-2.0
SOB_B_F-14-14134-40-001,0,199.2136998746867,1059.6453006322186,0.0,-2.0
SOB_B_F-14-14134-40-002,0,202.9308082706767,1054.2229864408132,0.0,-2.0
SOB_B_F-14-14134-40-003,0,204.05276002506267,1095.4055039746647,0.0,-2.0
SOB_B_F-14-14134-40-004,0,198.41612781954888,1117.8123460108602,0.0,-2.0
SOB_B_F-14-14134-40-005,0,199.0662343358396,1076.263106434633,0.0,-2.0
SOB_B_F-14-14134-40-006,0,201.74909147869676,1118.7622858013074,0.0,-2.0
SOB_B_F-14-14134-40-007,0,201.61848684210526,1095.1837612420388,0.0,-2.0
SOB_B_F-14-14134-40-008,0,201.2462343358396,905.6981762021969,0.0,-2.0
SOB_B_F-14-14134-40-009,0,201.30678258145363,1213.7511609678431,0.0,-2.0
SOB_B_F-14-14134-40-010,0,199.07423245614035,1052.3057404225624,0.0,-2.0
SOB_B_F-14-14134-40-011,0,207.41962719298246,835.1110704843935,0.0,-2.0
SOB_B_F-14-14134-40-012,0,191.5691447368421,1043.2569316922866,0.0,-2.0
SOB_B_F-14-14134-40-013,0,194.70880639097746,1043.0906831546286,0.0,-2.0
SOB_B_F-14-14134-40-014,0,187.8528446115288,1036.0792806439906,0.0,-2.0
SOB_B_F-14-14134-40-015,0,195.7398088972431,1011.9866933194863,0.0,-2.0
SOB_B_F-14-14134-40-016,0,195.11271929824562,1165.4741337222795,0.0,-2.0
SOB_B_F-14-14134-40-017,0,191.1760776942356,1047.2735086502764,0.0,-2.0
SOB_B_F-14-14134-40-018,0,191.31344611528823,1054.191004255861,0.0,-2.0
SOB_B_F-14-14134-40-019,0,196.77004385964912,1121.3771792176724,0.0,-2.0
SOB_B_F-14-14134-40-020,0,196.33199874686716,1018.8235883040766,0.0,-2.0
SOB_B_F-14-14134-40-021,0,195.0963439849624,1036.460248353888,0.0,-2.0
SOB_B_F-14-14134-40-022,0,195.99570802005013,1078.0572290385355,0.0,-2.0
SOB_B_F-14-14134-40-023,0,192.22458020050126,1037.524918190941,0.0,-2.0
SOB_B_F-14-14134-40-024,0,190.56181704260652,1126.3893742106577,0.0,-2.0
SOB_B_F-14-14134-40-025,0,180.05032268170427,1065.0177065882638,0.0,-2.0
SOB_B_F-14-14134-40-026,0,192.83581140350879,1090.4260294157746,0.0,-2.0
SOB_B_F-14-14134-40-027,0,193.65415413533836,1282.2991949164357,0.0,-2.0
SOB_B_F-14-14134-40-028,0,198.77033521303258,1111.3158001570303,0.0,-2.0
SOB_B_F-14-14134-40-029,0,194.79888471177944,1045.6030002500488,0.0,-2.0
SOB_B_F-14-14134-40-030,0,192.34100250626565,1018.5531469534279,0.0,-2.0
SOB_B_F-14-14134-40-031,0,191.95302944862155,853.7047779269211,0.0,-2.0
SOB_B_F-14-14134-40-032,0,198.44218671679198,646.4559893166108,0.0,-2.0
SOB_B_F-14-14134-40-033,0,184.33115914786967,968.1723302855078,0.0,-2.0
SOB_B_F-14-14134-40-034,0,178.3461998746867,806.785540573866,0.0,-2.0
SOB_B_F-14-14134-40-035,0,184.77856829573935,867.3411250804793,0.0,-2.0
SOB_B_F-14-14134-40-036,0,196.855429197995,936.7913103393232,0.0,-2.0
SOB_B_F-14-14134E-40-001,0,181.1240977443609,511.436796845846,0.0,-2.0
SOB_B_F-14-14134E-40-002,0,181.6912030075188,523.3076595446253,0.0,-2.0
SOB_B_F-14-14134E-40-003,0,179.24356516290726,429.60157027938544,0.0,-2.0
SOB_B_F-14-14134E-40-004,0,180.44253759398495,416.3594920623045,0.0,-2.0
SOB_B_F-14-14134E-40-005,0,185.5034649122807,475.4449630563285,0.0,-2.0
SOB_B_F-14-14134E-40-006,0,184.92493421052632,419.44858283677365,0.0,-2.0
SOB_B_F-14-14134E-40-007,0,186.25845864661653,366.44827659024605,0.0,-2.0
SOB_B_F-14-14134E-40-008,0,194.17300125313284,304.40108535205576,0.0,-1.9849624060150375
SOB_B_F-14-14134E-40-009,0,190.19124060150375,357.7674106546116,0.0,-2.0
SOB_B_F-14-14134E-40-010,0,189.12319862155388,364.86823457373663,0.0,-1.9865771812080537
SOB_B_F-14-14134E-40-011,0,192.38094298245613,417.36027469986846,0.0,-1.986842105263158
SOB_B_F-14-14134E-40-012,0,188.55613408521305,386.3000443514705,0.0,-2.0
SOB_B_F-14-14134E-40-013,0,179.08195802005014,494.4252648592718,0.0,-2.0
SOB_B_F-14-14134E-40-014,0,180.944022556391,573.2586542257201,0.0,-2.0
SOB_B_F-14-14134E-40-015,0,172.0965350877193,332.18140473769415,0.0,-1.984732824427481
SOB_B_F-14-14134E-40-016,0,173.12081140350878,294.3323919142004,0.0,-2.0
SOB_B_F-14-14134E-40-017,0,191.36127506265663,406.83445741668567,0.0,-1.9852941176470589
SOB_B_F-14-14134E-40-018,0,176.78818922305766,475.544945429519,0.0,-2.0
SOB_B_F-14-14134E-40-019,0,171.62603696741854,390.3568757498109,0.0,-2.0
SOB_B_F-14-14134E-40-020,0,186.85900689223058,364.07389883562644,0.0,-2.0
SOB_B_F-14-14134E-40-021,0,179.5429761904762,553.3766761127922,0.0,-2.0
SOB_B_F-14-14134E-40-022,0,175.55263471177946,416.0362483067779,0.0,-2.0
SOB_B_F-14-14134E-40-023,0,182.3500626566416,449.0689798887886,0.0,-2.0
SOB_B_F-14-14134E-40-024,0,184.66435776942356,505.310396908782,0.0,-2.0
SOB_B_F-14-14134E-40-025,0,185.06942355889726,506.2311542580859,0.0,-2.0
SOB_B_F-14-14134E-40-026,0,183.18095864661655,495.2482216295481,0.0,-2.0
SOB_B_F-14-14134E-40-027,0,185.7069298245614,437.3005018498627,0.0,-2.0
SOB_B_F-14-14134E-40-028,0,185.28831453634086,518.9705449919528,0.0,-2.0
SOB_B_F-14-14134E-40-029,0,180.06459586466164,589.2702037769817,0.0,-2.0
SOB_B_F-14-21998CD-40-001,0,183.15044486215538,461.6798154682504,0.0,-2.0
SOB_B_F-14-21998CD-40-002,0,182.65359962406015,318.3832863759188,0.0,-1.981981981981982
SOB_B_F-14-21998CD-40-003,0,181.68573308270678,266.7658282192356,0.0,-2.0
SOB_B_F-14-21998CD-40-004,0,185.3047587719298,323.82891845831784,0.0,-2.0
SOB_B_F-14-21998CD-40-005,0,183.60686090225565,352.6461094274418,0.0,-2.0
SOB_B_F-14-21998CD-40-006,0,180.93602130325814,300.49131870869996,0.0,-2.0
SOB_B_F-14-21998CD-40-007,0,181.6639567669173,301.2875561017455,0.0,-2.0
SOB_B_F-14-21998CD-40-008,0,179.82875939849623,216.02089323097152,0.0,-2.0
SOB_B_F-14-21998CD-40-009,0,184.53841791979949,253.73291498356983,0.0,-2.0
SOB_B_F-14-21998CD-40-010,0,182.75619047619048,161.29976443301126,0.0,-2.0
SOB_B_F-14-21998CD-40-011,0,185.4418201754386,195.34277659600707,0.0,-2.0
SOB_B_F-14-21998CD-40-012,0,184.33983082706766,164.03739639208604,0.0,-2.0
SOB_B_F-14-21998CD-40-013,0,181.90300438596492,179.75605612223526,0.0,-2.0
SOB_B_F-14-21998CD-40-014,0,183.97573621553886,211.9734979518718,0.0,-2.0
SOB_B_F-14-21998CD-40-015,0,180.85080200501253,245.80766305676033,0.0,-2.0
SOB_B_F-14-21998CD-40-016,0,179.9984179197995,245.55668837758557,0.0,-2.0
SOB_B_F-14-21998CD-40-017,0,186.5701253132832,298.8337814008007,0.0,-2.0
SOB_B_F-14-21998CD-40-018,0,184.29335213032581,268.11270053539823,0.0,-2.0
SOB_B_F-14-21998CD-40-019,0,181.4255231829574,346.11353149728967,0.0,-2.0
SOB_B_F-14-21998CD-40-020,0,180.06610275689223,308.22289255793936,0.0,-2.0
SOB_B_F-14-21998CD-40-021,0,176.58448934837094,284.87983146446936,0.0,-2.0
SOB_B_F-14-21998CD-40-022,0,180.57720864661655,328.91059999549407,0.0,-2.0
SOB_B_F-14-21998CD-40-023,0,183.5260275689223,305.16076041659704,0.0,-2.0
SOB_B_F-14-21998CD-40-024,0,181.3621021303258,377.5138619456158,0.0,-2.0
SOB_B_F-14-21998CD-40-025,0,180.1548558897243,362.499475911723,0.0,-2.0
SOB_B_F-14-21998CD-40-026,0,178.75204887218044,322.03627197986174,0.0,-2.0
SOB_B_F-14-21998CD-40-027,0,177.62827067669173,333.59234579446644,0.0,-2.0
SOB_B_F-14-21998CD-40-028,0,182.15061403508773,375.05763765093167,0.0,-2.0
SOB_B_F-14-21998CD-40-029,0,181.44450814536341,443.0275616111766,0.0,-2.0
SOB_B_F-14-21998CD-40-030,0,177.05574874686718,311.4667420854375,0.0,-2.0
SOB_B_F-14-21998CD-40-031,0,179.98263784461153,369.38360692661985,0.0,-2.0
SOB_B_F-14-21998CD-40-032,0,178.78830200501253,385.67582625171946,0.0,-2.0
SOB_B_F-14-21998CD-40-033,0,177.0805388471178,313.898034199533,0.0,-2.0
SOB_B_F-14-21998CD-40-034,0,183.45645676691728,328.75764659233084,0.0,-2.0
SOB_B_F-14-21998CD-40-035,0,182.45554511278195,329.483371620777,0.0,-2.0
SOB_B_F-14-21998CD-40-036,0,179.00862781954888,431.64384467959337,0.0,-1.9857142857142858
SOB_B_F-14-21998CD-40-037,0,175.2435776942356,347.72397008592486,0.0,-2.0
SOB_B_F-14-21998EF-40-001,0,177.71444862155388,482.03300204361574,0.0,-2.0
SOB_B_F-14-21998EF-40-002,0,183.96966478696743,466.8085245800805,0.0,-2.0
SOB_B_F-14-21998EF-40-003,0,178.33217105263157,312.24534730796285,0.0,-2.0
SOB_B_F-14-21998EF-40-004,0,179.51321741854636,546.6451785321527,0.0,-2.0
SOB_B_F-14-21998EF-40-005,0,178.44930764411026,478.1736120789638,0.0,-2.0
SOB_B_F-14-21998EF-40-006,0,175.85162280701755,349.2252464420587,0.0,-2.0
SOB_B_F-14-21998EF-40-007,0,176.03119674185464,447.92946725884127,0.0,-2.0
SOB_B_F-14-21998EF-40-008,0,172.6319454887218,381.5457703125641,0.0,-2.0
SOB_B_F-14-21998EF-40-009,0,173.0061090225564,312.30193198374235,0.0,-2.0
SOB_B_F-14-21998EF-40-010,0,175.08370927318296,482.6899409827825,0.0,-2.0
SOB_B_F-14-21998EF-40-011,0,165.08035714285714,290.56681032132957,0.0,-2.0
SOB_B_F-14-21998EF-40-012,0,172.37510025062656,295.0146101107936,0.0,-2.0
SOB_B_F-14-21998EF-40-013,0,181.84320175438597,477.38010171352977,0.0,-2.0
SOB_B_F-14-21998EF-40-014,0,177.0444329573935,365.6460183297983,0.0,-2.0
SOB_B_F-14-21998EF-40-015,0,180.25201441102757,427.1465751729196,0.0,-2.0
SOB_B_F-14-21998EF-40-016,0,178.06277882205515,302.7824473784701,0.0,-2.0
SOB_B_F-14-21998EF-40-017,0,179.0846522556391,393.014955815251,0.0,-2.0
SOB_B_F-14-21998EF-40-018,0,184.02943922305764,308.3505562680972,0.0,-2.0
SOB_B_F-14-21998EF-40-019,0,189.7122149122807,385.61462377361096,0.0,-2.0
SOB_B_F-14-21998EF-40-020,0,180.86629385964912,355.3423036099011,0.0,-2.0
SOB_B_F-14-21998EF-40-021,0,173.68437969924813,287.27863266666657,0.0,-2.0
SOB_B_F-14-21998EF-40-022,0,184.6002506265664,450.05060911989034,0.0,-2.0
SOB_B_F-14-21998EF-40-023,0,174.90713345864663,476.44794706795807,0.0,-2.0
SOB_B_F-14-21998EF-40-024,0,171.51010651629073,461.10969365408147,0.0,-2.0
SOB_B_F-14-21998EF-40-025,0,174.8199373433584,407.2127529473179,0.0,-2.0
SOB_B_F-14-21998EF-40-026,0,179.36689536340853,528.0628290381169,0.0,-2.0
SOB_B_F-14-21998EF-40-027,0,177.18056077694234,599.7369384205954,0.0,-2.0
SOB_B_F-14-21998EF-40-028,0,175.0766478696742,649.6613167345402,0.0,-2.0
SOB_B_F-14-21998EF-40-029,0,181.88973684210526,615.2336529123461,0.0,-2.0
SOB_B_F-14-21998EF-40-030,0,179.2799655388471,539.2670581870462,0.0,-1.9855072463768115
SOB_B_F-14-21998EF-40-031,0,183.3176879699248,451.25694089188517,0.0,-2.0
SOB_B_F-14-23060AB-40-001,0,172.52524436090226,1845.662278003723,0.0,-2.0
SOB_B_F-14-23060AB-40-002,0,176.1552506265664,1941.4656619556245,0.0,-2.0
SOB_B_F-14-23060AB-40-003,0,188.35504072681704,1715.4781279416825,0.0,-1.984251968503937
SOB_B_F-14-23060AB-40-004,0,192.20500626566417,1517.7435510454943,0.0,-1.968503937007874
SOB_B_F-14-23060AB-40-005,0,180.22701754385966,2251.420030414225,0.0,-2.0
SOB_B_F-14-23060AB-40-006,0,172.98834899749374,2237.556079935423,0.0,-1.984
SOB_B_F-14-23060AB-40-007,0,177.376484962406,2105.315519865017,0.0,-1.992
SOB_B_F-14-23060AB-40-008,0,178.0039223057644,2189.879618023019,0.0,-1.9920318725099602
SOB_B_F-14-23060AB-40-009,0,177.9815664160401,2197.3318778095863,0.0,-2.0
SOB_B_F-14-23060AB-40-010,0,174.3415977443609,2223.4148628930957,0.0,-2.0
SOB_B_F-14-23060AB-40-011,0,160.25833020050126,2222.4843337302764,0.0,-1.992094861660079
SOB_B_F-14-23060AB-40-012,0,154.92961152882205,2452.980142739104,0.0,-2.0
SOB_B_F-14-23060AB-40-013,0,161.61621553884711,1972.5002808003333,0.0,-2.0
SOB_B_F-14-23060AB-40-014,0,160.1172963659148,2025.60602765496,0.0,-1.9921259842519685
SOB_B_F-14-23060AB-40-015,0,163.31636591478696,1976.0056856174645,0.0,-1.9921259842519685
SOB_B_F-14-23060AB-40-016,0,167.15642857142856,1671.2756050542137,0.0,-2.0
SOB_B_F-14-23060AB-40-017,0,172.42255639097743,1426.0136720155556,0.0,-1.9840637450199203
SOB_B_F-14-23060AB-40-018,0,168.5456359649123,1417.5088185336938,0.0,-2.0
SOB_B_F-14-23060AB-40-019,0,171.3074812030075,1376.4568387968918,0.0,-1.9920318725099602
SOB_B_F-14-23060AB-40-020,0,177.77017230576442,1306.6178363307142,0.0,-2.0
SOB_B_F-14-23060AB-40-021,0,174.93048872180452,1445.0556978740701,0.0,-2.0
SOB_B_F-14-23060AB-40-022,0,174.07344611528822,1461.6032476293035,0.0,-2.0
SOB_B_F-14-23060AB-40-023,0,175.2293201754386,1519.2800991943263,0.0,-1.9841897233201582
SOB_B_F-14-23060CD-40-001,0,177.04724937343357,863.4571967271811,0.0,-1.9904306220095693
SOB_B_F-14-23060CD-40-002,0,144.48649749373433,958.420748966676,0.0,-2.0
SOB_B_F-14-23060CD-40-003,0,178.31431077694236,947.6504486579158,0.0,-2.0
SOB_B_F-14-23060CD-40-004,0,190.27709273182958,672.651890435148,0.0,-2.0
SOB_B_F-14-23060CD-40-005,0,191.09374060150375,624.3136991750112,0.0,-2.0
SOB_B_F-14-23060CD-40-006,0,203.9293671679198,579.4047827443756,0.0,-2.0
SOB_B_F-14-23060CD-40-007,0,190.62335839598998,469.926005068661,0.0,-2.0
SOB_B_F-14-23060CD-40-008,0,177.7836372180451,1038.4078339400744,0.0,-2.0
SOB_B_F-14-23060CD-40-009,0,179.74325187969924,861.1391637558637,0.0,-1.9902439024390244
SOB_B_F-14-23060CD-40-010,0,179.89409147869674,850.4159448455783,0.0,-2.0
SOB_B_F-14-23060CD-40-011,0,176.3007926065163,878.3058643623074,0.0,-2.0
SOB_B_F-14-23060CD-40-012,0,186.50157894736842,848.9471689050566,0.0,-2.0
SOB_B_F-14-23060CD-40-013,0,180.1992387218045,892.8107241182782,0.0,-2.0
SOB_B_F-14-23060CD-40-014,0,182.08020363408522,962.1097436703659,0.0,-1.9901477832512315
SOB_B_F-14-23222AB-40-001,0,199.1252380952381,1259.7015085799121,0.0,-1.9919678714859437
SOB_B_F-14-23222AB-40-002,0,205.7866478696742,1079.8325863108587,0.0,-1.991902834008097
SOB_B_F-14-23222AB-40-003,0,209.02067669172934,1119.7485503504122,0.0,-2.0
SOB_B_F-14-23222AB-40-004,0,202.57642857142858,1070.6726666277998,0.0,-2.0
SOB_B_F-14-23222AB-40-005,0,198.58041666666668,1168.3860968248375,0.0,-2.0
SOB_B_F-14-23222AB-40-006,0,208.80105263157895,840.2087808336358,0.0,-2.0
SOB_B_F-14-23222AB-40-007,0,206.04145989974938,930.8635066163904,0.0,-1.992094861660079
SOB_B_F-14-23222AB-40-008,0,199.22165100250626,1172.512630771529,0.0,-2.0
SOB_B_F-14-23222AB-40-009,0,196.98398182957393,1038.5602788945348,0.0,-2.0
SOB_B_F-14-23222AB-40-010,0,209.0886090225564,997.9568856874674,0.0,-2.0
SOB_B_F-14-23222AB-40-011,0,212.36427944862155,969.8016255897412,0.0,-2.0
SOB_B_F-14-23222AB-40-012,0,204.30176691729324,1027.7866083780884,0.0,-1.992063492063492
SOB_B_F-14-23222AB-40-013,0,209.0990538847118,979.5809077888958,0.0,-2.0
SOB_B_F-14-23222AB-40-014,0,204.93033521303258,1054.998349088311,0.0,-1.9918367346938775
SOB_B_F-14-23222AB-40-015,0,205.60069862155387,1097.9362746773952,0.0,-2.0
SOB_B_F-14-23222AB-40-016,0,208.03874373433584,1215.5678677583292,0.0,-1.984251968503937
SOB_B_F-14-23222AB-40-017,0,199.9944956140351,1262.0956509169707,0.0,-2.0
